symbol,entry_time,exit_time,side,source,R,reason
BTCUSD,2024-06-28 14:00:00+00:00,2024-06-28 14:00:00+00:00,short,trend,-1.258502853725598,stop
BTCUSD,2024-06-28 17:00:00+00:00,2024-06-28 17:00:00+00:00,long,squeeze,-1.2232875645508927,stop
BTCUSD,2024-06-28 22:00:00+00:00,2024-06-29 12:00:00+00:00,long,squeeze,2.004149334326173,tp
BTCUSD,2024-06-30 00:00:00+00:00,2024-06-30 08:00:00+00:00,short,trend,-1.5106433278263345,stop
BTCUSD,2024-06-30 16:00:00+00:00,2024-06-30 18:00:00+00:00,short,squeeze,-1.3414375346743215,stop
BTCUSD,2024-06-30 21:00:00+00:00,2024-06-30 21:00:00+00:00,short,squeeze,-1.3017689808461197,stop
BTCUSD,2024-07-01 01:00:00+00:00,2024-07-01 02:00:00+00:00,short,squeeze,-1.278096286284168,stop
BTCUSD,2024-07-01 04:00:00+00:00,2024-07-01 14:00:00+00:00,short,squeeze,1.976289504219308,tp
BTCUSD,2024-07-01 20:00:00+00:00,2024-07-01 23:00:00+00:00,short,squeeze,1.9374526270997288,tp
BTCUSD,2024-07-02 17:00:00+00:00,2024-07-02 21:00:00+00:00,long,squeeze,-1.2604447784466877,stop
BTCUSD,2024-07-02 23:00:00+00:00,2024-07-03 02:00:00+00:00,long,squeeze,-1.1965491626551892,stop
BTCUSD,2024-07-03 12:00:00+00:00,2024-07-03 13:00:00+00:00,long,squeeze,-1.1850081491570001,stop
BTCUSD,2024-07-03 23:00:00+00:00,2024-07-04 02:00:00+00:00,long,squeeze,-1.1507400637011078,stop
BTCUSD,2024-07-04 04:00:00+00:00,2024-07-04 08:00:00+00:00,long,squeeze,-1.129443279080269,stop
BTCUSD,2024-07-04 11:00:00+00:00,2024-07-04 14:00:00+00:00,long,squeeze,-1.1182226834041402,stop
BTCUSD,2024-07-05 02:00:00+00:00,2024-07-05 03:00:00+00:00,long,squeeze,-1.1275660496775854,stop
BTCUSD,2024-07-08 11:00:00+00:00,2024-07-08 15:00:00+00:00,short,squeeze,2.102495706156147,tp
BTCUSD,2024-07-09 16:00:00+00:00,2024-07-09 17:00:00+00:00,short,confluence,-1.1466451299288705,stop
BTCUSD,2024-07-10 07:00:00+00:00,2024-07-10 13:00:00+00:00,short,squeeze,2.04165048189982,tp
BTCUSD,2024-07-11 05:00:00+00:00,2024-07-11 06:00:00+00:00,short,trend,-1.1730798057433138,stop
BTCUSD,2024-07-11 14:00:00+00:00,2024-07-11 15:00:00+00:00,short,squeeze,2.0333912610653067,tp
BTCUSD,2024-07-12 16:00:00+00:00,2024-07-12 16:00:00+00:00,short,squeeze,-1.18632085283052,stop
BTCUSD,2024-07-12 18:00:00+00:00,2024-07-12 19:00:00+00:00,short,squeeze,-1.1985559603704938,stop
BTCUSD,2024-07-12 21:00:00+00:00,2024-07-13 06:00:00+00:00,short,trend,-1.176603394433124,stop
BTCUSD,2024-07-13 18:00:00+00:00,2024-07-13 23:00:00+00:00,short,squeeze,-1.2549978919338627,stop
BTCUSD,2024-07-14 01:00:00+00:00,2024-07-14 01:00:00+00:00,short,squeeze,-1.2285996849078757,stop
BTCUSD,2024-07-15 06:00:00+00:00,2024-07-15 09:00:00+00:00,short,squeeze,-1.160173426106292,stop
BTCUSD,2024-07-15 17:00:00+00:00,2024-07-15 17:00:00+00:00,short,squeeze,-1.1819717909463479,stop
BTCUSD,2024-07-15 19:00:00+00:00,2024-07-15 19:00:00+00:00,short,squeeze,-1.1915843417978758,stop
BTCUSD,2024-07-15 21:00:00+00:00,2024-07-15 23:00:00+00:00,short,squeeze,-1.178416054008979,stop
BTCUSD,2024-07-16 16:00:00+00:00,2024-07-17 00:00:00+00:00,long,trend,2.0631157639153157,tp
BTCUSD,2024-07-17 15:00:00+00:00,2024-07-17 17:00:00+00:00,long,trend,-1.1835893926541032,stop
BTCUSD,2024-07-18 13:00:00+00:00,2024-07-18 15:00:00+00:00,long,trend,-1.225932274277254,stop
BTCUSD,2024-07-18 18:00:00+00:00,2024-07-18 19:00:00+00:00,long,squeeze,-1.1976539472417764,stop
BTCUSD,2024-07-18 21:00:00+00:00,2024-07-19 14:00:00+00:00,long,squeeze,2.0085870712640346,tp
BTCUSD,2024-07-20 20:00:00+00:00,2024-07-20 22:00:00+00:00,short,squeeze,1.857701508429451,tp
BTCUSD,2024-07-21 16:00:00+00:00,2024-07-21 16:00:00+00:00,long,trend,-1.3293348936010934,stop
BTCUSD,2024-07-21 19:00:00+00:00,2024-07-21 19:00:00+00:00,short,squeeze,-1.2314999812238594,stop
BTCUSD,2024-07-21 21:00:00+00:00,2024-07-22 15:00:00+00:00,long,trend,-1.171756345304308,stop
BTCUSD,2024-07-22 17:00:00+00:00,2024-07-22 20:00:00+00:00,long,squeeze,1.9954665998758652,tp
BTCUSD,2024-07-23 16:00:00+00:00,2024-07-23 16:00:00+00:00,long,trend,-1.1823581034547164,stop
BTCUSD,2024-07-23 19:00:00+00:00,2024-07-24 18:00:00+00:00,long,squeeze,0.9288678281063096,timeout
BTCUSD,2024-07-25 01:00:00+00:00,2024-07-25 02:00:00+00:00,long,squeeze,-1.1636687482672141,stop
BTCUSD,2024-07-25 15:00:00+00:00,2024-07-25 15:00:00+00:00,long,squeeze,-1.1889011212747127,stop
BTCUSD,2024-07-26 00:00:00+00:00,2024-07-26 01:00:00+00:00,short,squeeze,-1.1522358350662332,stop
BTCUSD,2024-07-26 03:00:00+00:00,2024-07-26 03:00:00+00:00,short,squeeze,-1.1453069250401966,stop
BTCUSD,2024-07-26 05:00:00+00:00,2024-07-26 14:00:00+00:00,short,squeeze,-1.143294878209987,stop
BTCUSD,2024-07-26 16:00:00+00:00,2024-07-26 20:00:00+00:00,short,squeeze,-1.2132084578263789,stop
BTCUSD,2024-07-27 16:00:00+00:00,2024-07-27 20:00:00+00:00,short,squeeze,1.9014533439022847,tp
BTCUSD,2024-07-27 22:00:00+00:00,2024-07-27 22:00:00+00:00,long,squeeze,2.0236202739864395,tp
BTCUSD,2024-07-29 05:00:00+00:00,2024-07-29 06:00:00+00:00,short,squeeze,-1.2349046730780724,stop
BTCUSD,2024-07-29 08:00:00+00:00,2024-07-29 15:00:00+00:00,short,squeeze,1.9734076095155486,tp
BTCUSD,2024-07-29 17:00:00+00:00,2024-07-29 17:00:00+00:00,long,squeeze,-1.181162581258328,stop
BTCUSD,2024-07-29 19:00:00+00:00,2024-07-30 01:00:00+00:00,long,squeeze,-1.1668165007856834,stop
BTCUSD,2024-07-30 17:00:00+00:00,2024-07-30 18:00:00+00:00,long,squeeze,-1.20669174372735,stop
BTCUSD,2024-07-30 22:00:00+00:00,2024-07-31 05:00:00+00:00,long,squeeze,-1.1798654348431987,stop
BTCUSD,2024-07-31 21:00:00+00:00,2024-08-01 03:00:00+00:00,short,trend,2.023658347495969,tp
BTCUSD,2024-08-01 07:00:00+00:00,2024-08-01 16:00:00+00:00,long,squeeze,-1.1425304379607515,stop
BTCUSD,2024-08-01 18:00:00+00:00,2024-08-01 18:00:00+00:00,long,squeeze,-1.182100743543882,stop
